PTAXID,COMPANYID,BRANCHID,CLIENTID,DATE,VAT,INCOMETAX,DELETESTATUS,CREATEDBY,CREATEDDATETIME,MODIFIEDBY,MODIFIEDDATETIME
137,1000,1,4,5/31/2018 0:00,0,0,FALSE,1,36:29.7,,
138,1000,1,3,5/31/2018 0:00,0,263,FALSE,1,07:47.0,,
139,1000,1,53,5/31/2018 0:00,12474,14423,FALSE,1,29:58.7,,
141,1000,1,39,5/31/2018 0:00,0,54,FALSE,41,46:37.7,,
142,1000,1,2,5/31/2018 0:00,1373,1541,FALSE,1,37:13.1,,
144,1000,1,43,5/30/2018 0:00,0,0,FALSE,1,14:07.2,,
146,1000,1,20,5/31/2018 0:00,0,0,FALSE,41,04:04.2,,
148,1000,1,41,5/31/2018 0:00,0,0,FALSE,41,21:57.1,,
149,1000,1,30,5/31/2018 0:00,0,0,FALSE,41,26:54.0,,
150,1000,1,29,5/31/2018 0:00,0,0,FALSE,41,30:06.2,,
152,1000,1,24,5/31/2018 0:00,0,0,FALSE,41,36:23.0,,
153,1000,1,62,5/31/2018 0:00,0,0,FALSE,41,42:17.0,,
154,1000,1,7,5/31/2018 0:00,0,0,FALSE,41,11:43.1,,
155,1000,1,54,5/31/2018 0:00,0,0,FALSE,41,57:28.8,,
156,1000,1,49,5/30/2018 0:00,994,1893,FALSE,1,33:40.0,,
159,1000,1,4,6/30/2018 0:00,0,0,FALSE,1,55:29.7,,
161,1000,1,63,6/30/2018 0:00,0,0,FALSE,1,58:39.2,,
162,1000,1,3,6/30/2018 0:00,0,330,FALSE,1,20:52.9,,
163,1000,1,49,6/30/2018 0:00,282,0,FALSE,1,21:30.1,,
164,1000,1,49,6/30/2018 0:00,980,0,FALSE,1,21:59.8,,
166,1000,1,53,6/30/2018 0:00,17807,7117,FALSE,1,50:06.6,,
168,1000,1,1,6/30/2018 0:00,2022,0,FALSE,41,33:40.6,,
169,1000,1,30,6/30/2018 0:00,0,0,FALSE,1,01:13.4,,
170,1000,1,39,6/30/2018 0:00,0,254,FALSE,1,22:55.8,,
174,1000,1,20,6/30/2018 0:00,693,0,FALSE,1,51:23.8,,
176,1000,1,2,6/30/2018 0:00,0,0,FALSE,1,01:31.4,,
177,1000,1,62,6/30/2018 0:00,0,0,FALSE,1,37:09.2,,
179,1000,1,41,6/30/2018 0:00,0,0,FALSE,1,16:11.9,,
180,1000,1,56,6/30/2018 0:00,0,79,FALSE,41,20:26.5,,
181,1000,1,31,6/30/2018 0:00,0,0,FALSE,41,16:52.6,,
182,1000,1,38,6/30/2018 0:00,0,25,FALSE,41,54:23.7,,
183,1000,1,43,6/30/2018 0:00,0,0,FALSE,1,59:14.7,,
184,1000,1,37,6/30/2018 0:00,0,0,FALSE,41,00:36.4,,
185,1000,1,54,6/30/2018 0:00,788,0,FALSE,1,26:55.2,,
186,1000,1,29,6/30/2018 0:00,0,0,FALSE,41,37:14.8,,
188,1000,1,24,6/30/2018 0:00,324,0,FALSE,1,16:38.4,,
189,1000,1,21,6/30/2018 0:00,0,0,FALSE,41,04:05.7,,
191,1000,1,64,6/30/2018 0:00,0,0,FALSE,1,18:53.7,,
192,1000,1,23,6/30/2018 0:00,5643,495,FALSE,1,44:49.5,,
194,1000,1,7,3/31/2018 0:00,1433,0,FALSE,1,7/24/2018 19:04,,
195,1000,1,64,7/31/2018 0:00,2133,2000,FALSE,1,11:05.4,,
197,1000,1,3,7/31/2018 0:00,1196,0,FALSE,1,10:40.9,,
198,1000,1,4,7/31/2018 0:00,0,0,FALSE,1,07:50.2,,
200,1000,1,53,7/31/2018 0:00,9811,7485,FALSE,1,03:39.6,,
201,1000,1,63,7/31/2018 0:00,0,0,FALSE,1,13:13.7,,
202,1000,1,30,7/31/2018 0:00,0,0,FALSE,41,17:22.6,,
